"","March_1","March_2","April","May","Week46","Week47","Week48","Week49","Week50","Week51","Week52","Week53","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10","Week11","Week12","Week13","Week14","Week15","Week16","Week17","Week18","Week19","Week20","Week21","Week22","Week23","Week24","Week25","Week26","Week27"
"249",0,0.2160063,0.2160063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"252",0,0.0586569088043341,0.0586569088043341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"253",0,0.221118214579614,0.045331654225036,0.0279534626592823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"255",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"257",0.605970250370852,0.8350095,0.8350095,0.8350095,0.447908190216259,0.447908190216259,0.447908190216259,0.447908190216259,0.447908190216259,0.447908190216259,0.447908190216259,0.447908190216259,0.447908190216259,0.447908190216259,0.447908190216259,0.447908190216259,0.445080260802204,0.445080260802204,0.445080260802204,0.445080260802204,0.445080260802204,0.447908190216259,0.447908190216259,0.447908190216259,0.447908190216259,0.447908190216259,0.447908190216259,0.447908190216259,0.445080260802204,0.372350011012149,0.372350011012149,0.316216251946205,0.245927490537153,0.0590896490869693,0.0590896490869693,0.0590896490869693,0.0590896490869693,0.0590896490869693,0.0590896490869693
"258",0.608323873747053,0.802933269854167,0.680077780227686,0.608323873747053,0,0,0,0,0,0,0,0.608323873747053,0.608323873747053,0,0,0,0,0,0,0,0,0,0.608323873747053,0.608323873747053,0.608323873747053,0.608323873747053,0,0,0,0,0,0,0,0,0,0,0,0,0
"259",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"261",0,0.609921545945543,0.609921545945543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
